t,MV,PV
2.770000000000000000e+02,0.000000000000000000e+00,3.060000000000000497e-01
2.780000000000000000e+02,0.000000000000000000e+00,3.012499999999999067e-01
2.790000000000000000e+02,0.000000000000000000e+00,2.980000000000000426e-01
2.800000000000000000e+02,0.000000000000000000e+00,2.947499999999999565e-01
2.810000000000000000e+02,0.000000000000000000e+00,2.907500000000000639e-01
2.820000000000000000e+02,0.000000000000000000e+00,2.900000000000000355e-01
2.830000000000000000e+02,0.000000000000000000e+00,2.900000000000000355e-01
2.840000000000000000e+02,0.000000000000000000e+00,2.852499999999998925e-01
2.850000000000000000e+02,0.000000000000000000e+00,2.820000000000000284e-01
2.860000000000000000e+02,0.000000000000000000e+00,2.820000000000000284e-01
2.870000000000000000e+02,0.000000000000000000e+00,2.802499999999999991e-01
2.880000000000000000e+02,0.000000000000000000e+00,2.747500000000000497e-01
2.890000000000000000e+02,0.000000000000000000e+00,2.737499999999998823e-01
2.900000000000000000e+02,0.000000000000000000e+00,2.714999999999999636e-01
2.910000000000000000e+02,0.000000000000000000e+00,2.674999999999999045e-01
2.920000000000000000e+02,0.000000000000000000e+00,2.657500000000000417e-01
2.930000000000000000e+02,0.000000000000000000e+00,2.657500000000000417e-01
2.940000000000000000e+02,0.000000000000000000e+00,2.602499999999999258e-01
2.950000000000000000e+02,0.000000000000000000e+00,2.577500000000000346e-01
2.960000000000000000e+02,0.000000000000000000e+00,2.577500000000000346e-01
2.970000000000000000e+02,0.000000000000000000e+00,2.577500000000000346e-01
2.980000000000000000e+02,0.000000000000000000e+00,2.519999999999999463e-01
2.990000000000000000e+02,0.000000000000000000e+00,2.497500000000000553e-01
3.000000000000000000e+02,0.000000000000000000e+00,2.497500000000000553e-01
3.010000000000000000e+02,0.000000000000000000e+00,2.497500000000000553e-01
3.020000000000000000e+02,0.000000000000000000e+00,2.464999999999999969e-01
3.030000000000000000e+02,0.000000000000000000e+00,2.417500000000000482e-01
3.040000000000000000e+02,0.000000000000000000e+00,2.417500000000000482e-01
3.050000000000000000e+02,0.000000000000000000e+00,2.417500000000000482e-01
3.060000000000000000e+02,0.000000000000000000e+00,2.384999999999999898e-01
3.070000000000000000e+02,0.000000000000000000e+00,2.334999999999999021e-01
3.080000000000000000e+02,0.000000000000000000e+00,2.334999999999999021e-01
3.090000000000000000e+02,0.000000000000000000e+00,2.334999999999999021e-01
3.100000000000000000e+02,0.000000000000000000e+00,2.334999999999999021e-01
3.110000000000000000e+02,0.000000000000000000e+00,2.287499999999999534e-01
3.120000000000000000e+02,0.000000000000000000e+00,2.254999999999998950e-01
3.130000000000000000e+02,0.000000000000000000e+00,2.254999999999998950e-01
3.140000000000000000e+02,0.000000000000000000e+00,2.254999999999998950e-01
3.150000000000000000e+02,0.000000000000000000e+00,2.230000000000000315e-01
3.160000000000000000e+02,0.000000000000000000e+00,2.182499999999999163e-01
3.170000000000000000e+02,0.000000000000000000e+00,2.174999999999998879e-01
3.180000000000000000e+02,0.000000000000000000e+00,2.174999999999998879e-01
3.190000000000000000e+02,0.000000000000000000e+00,2.174999999999998879e-01
3.200000000000000000e+02,0.000000000000000000e+00,2.124999999999999944e-01
3.210000000000000000e+02,0.000000000000000000e+00,2.095000000000000751e-01
3.220000000000000000e+02,0.000000000000000000e+00,2.095000000000000751e-01
3.230000000000000000e+02,0.000000000000000000e+00,2.084999999999999076e-01
3.240000000000000000e+02,0.000000000000000000e+00,2.077500000000000457e-01
3.250000000000000000e+02,0.000000000000000000e+00,2.029999999999999305e-01
3.260000000000000000e+02,0.000000000000000000e+00,2.012499999999999289e-01
3.270000000000000000e+02,0.000000000000000000e+00,2.012499999999999289e-01
3.280000000000000000e+02,0.000000000000000000e+00,2.012499999999999289e-01
3.290000000000000000e+02,0.000000000000000000e+00,1.997500000000000386e-01
3.300000000000000000e+02,0.000000000000000000e+00,1.939999999999999503e-01
3.310000000000000000e+02,0.000000000000000000e+00,1.932499999999999218e-01
3.320000000000000000e+02,0.000000000000000000e+00,1.932499999999999218e-01
3.330000000000000000e+02,0.000000000000000000e+00,1.892500000000000016e-01
3.340000000000000000e+02,0.000000000000000000e+00,1.892500000000000016e-01
3.350000000000000000e+02,0.000000000000000000e+00,1.877499999999999447e-01
3.360000000000000000e+02,0.000000000000000000e+00,1.852499999999999147e-01
3.370000000000000000e+02,0.000000000000000000e+00,1.852499999999999147e-01
3.380000000000000000e+02,0.000000000000000000e+00,1.852499999999999147e-01
3.390000000000000000e+02,0.000000000000000000e+00,1.834999999999999132e-01
3.400000000000000000e+02,0.000000000000000000e+00,1.794999999999999929e-01
3.410000000000000000e+02,0.000000000000000000e+00,1.779999999999999361e-01
3.420000000000000000e+02,0.000000000000000000e+00,1.772499999999999076e-01
3.430000000000000000e+02,0.000000000000000000e+00,1.772499999999999076e-01
3.440000000000000000e+02,0.000000000000000000e+00,1.772499999999999076e-01
3.450000000000000000e+02,0.000000000000000000e+00,1.762499999999999345e-01
3.460000000000000000e+02,0.000000000000000000e+00,1.707499999999999574e-01
